APFS Number,Description,Contract Status,Component
F2018041649,"Surface Forces Logistics Center (SFLC) Long Range Enforcer Product Line intends to issue a contract for USCGC POLAR STAR (WAGB 10) Fiscal Year 21 Dry-dock Availability. Work will likely include: Dry-docking, temporary services, shafting work, annual maintenance, lifting equipment inspection and repair, cutting, burning, and welding; preparation, prime, and paint; tank cleaning and inspection; ventilation work, interior and exterior preservation; insulation renewal. The potential period of performance will be 4/16/21 - 8/17/21 and will take place at the Dry Dock Contractor's Facility geographically restricted to West Coast, United States. ",NEW,USCG/SFLC
F2018041819,"Under the FMS Program, the USCG has a requirement to purchase a variety of articles and services necessary to support the FMS and Excess Defense Articles (EDA) transfer of articles and services to foreign maritime services under the authority of the Foreign Assistance Act (22 U.S.C. § 2151 et seq) and Arms Export and Control Act (22 U.S.C. 2778 et seq).The USCG is planning for an indefinite delivery indefinite quantity (IDIQ) type contract in support of the U.S Department of State's (DOS) foreign security assistance requirements coming through the Security Assistance Program as authorized by the FAA and AECA. While DOS is the overall U.S. Government lead for Security Assistance, the actual program and project requirements are executed by the cognizant U.S. Military Departments to include Army, Air Force, Navy, Marine Corp, and the Coast Guard through Navy delegation. The Security Assistance programs provide systems, equipment, supplies, training, and technical assistance in support of U.S. defense and foreign policy objectives and to expand and enhance foreign maritime security and safety partners' operational and maintenance capabilities. EDA transfer of decommissioned USCG vessels and associated outfit and equipment that meets these objectives while also providing an economical and efficient property disposal method for the USCG that both avoids costly and unbudgeted disposal costs while simultaneously meeting the USCG's constantly challenging operational requirements and associated schedule during the ongoing recapitalization of the USCG fleet.Under FMS and EDA ship transfer projects, the foreign recipient government may request supplies and services under an FMS Letter of Offer and Acceptance (LOA). These services may include, but are not limited to, replacement equipment procurement and installation, ship alterations and modification, preventive and corrective maintenance, Consolidated Shipboard Allowance List parts procurement and stocking, consumable and stores procurement and stocking, Petroleum, Oil, and Lubricants procurement and delivery, ammunition procurement and delivery, ship chandlery/husbandry services, and dockside and underway training services. Services may also include, but are not limited to, training, technical assistance, and transportation (shipping) services and may be delivered using organic USCG personnel or under contract with commercial providers.",REC,USCG/CG-912
F2018041897,"The Federal Protective Service (FPS), Training and Professional Development, Specialized and Advanced Training Division has identified a need to procure weekly range cleaning, range target system maintenance, general range maintenance and brass and lead recycling/abatement services for two (2) indoor Weapons Firing Ranges located at the Federal Protective Service (FPS), Consolidated Training Facility, 6315 Bren Mar Drive, Suite 100, Alexandria, VA.",REC,DHS HQ/CISA
F2018041946,"Procure aircraft spare parts in support of the U.S. Coast Guard Medium Range Surveillance HC-144 aircraft.  This is a multiple year requirement, and the U.S. Coast Guard intends to award a multiple year requirements based contract. ",REC,USCG/ALC
F2018042053,"This project covers the manufacturing (casting), testing, prototyping, and packaging of 5-Ton & 10-Ton foundry hooks. These hooks will be built in accordance with Coast Guard design requirements. The hooks will be utilized during Aids To Navigation operations onboard the three cutter classes. ",NEW,USCG/SFLC
F2018042285,"The contractor shall provide SAMS management center/help desk support and COTS software module configuration support for HSI Sunflower. While the DHS standard SAMS provides general asset management support for personal property items for: DHS Headquarters, Immigrations and Customs Enforcement (ICE), and other DHS Components HSI Technical Operations required the SAMS Sentry module functionality to track all specialized HSI Electronic Surveillance equipment throughout HSI worldwide.",REC,ICE/CIO
F2018042358,The USSS has a requirement for purchase of electrochemiluminicent immunoassay plates.,NEW,USSS
F2018042591,STORAGE TANK MANAGEMENT PROGRAM REPAIRS REMOVALS INSTALLATIONS,REC,FEMA
F2018042923,Next generation Long Range Interceptor (LRI-III). Approximately 15 boats.,REC,USCG/CG-912
F2018043005,"The United States Coast Guard's (USCG's) MH-60T Sustainment Program is evaluating options to maintain capacity of the Medium Range Recovery capability of 45 MH-60T. For this specific acquisition, USCG plans to procure new hulls to replace the legacy fleet. The hulls must have 20,000 hours of available service life and must be modified and delivered in the MH-60T configuration. The Coast Guard will insert the new hulls into the existing MH-60T Programmed Depot Maintenance line to transfer and install existing legacy systems at the Aviation Logistics Center in Elizabeth City, NC.  First delivery of a hull in the MH-60T structural configuration ready for insertion into the Programmed Depot Maintenance line is expected NLT 2024, at a rate of up to 10 hulls per year, and up to a total of 45 hulls.",NEW,USCG/CG-912
F2018043095,Armed Guard Service at Federal Facilities Throughout the State of Arkansas,REC,DHS HQ/CISA
F2018043291,"This Requirement is to establish a Requirements Contract for various parts to support the US Coast Guard Cutter Boat Large (CB-L), Cutter Boat Medium (CB-M), and Cutter Boat Over-The-Horizon (CB-OTH). The sponsons, electrical components, and parts that will be supplied under this requirement shall be sponsons, electrical components, and parts that are currently utilized on the CB-L, CB-M, and CB-OTH.",NEW,USCG/SFLC
F2018043408,The Transportation Security Administration's (TSA's) offices of Acquisition Program Management (APM) and Requirements and Analysis Capabilities (RCA) require professional engineering and logistics support services (PELSS).  Anticipated Strategy: TBD,REC,TSA
F2018043472,"FY 2019 FORECAST - MH60T REWIRE KIT, NSN 5995-01-HS2-4991, P/N 985-591, 5 TO 10 EACH.",NEW,USCG/ALC
F2018043500,"The primary goal of this acquisition is to establish a Single Award IDIQ contract vehicle available for use by all Transportation Security Administration (TSA) offices to assist with the training andengagement of the TSA workforce. This contract will provide TSA with a full array of training and training related support services needed to accomplish TSA’s evolving mission.The contractor shall furnish the full range of solutions and services necessary to meet requirements of this contract and individual task orders (TO) in support of TSA’s training requirements. All solutions and services must meet applicable FAR, DHS, and TSA policies, standards, and procedures (for example: enterprise architecture, information assurance, personnel, physical, and system security.)  The Government anticipates the following high-level training support required under this vehicle: Curriculum Development; Threat Mitigation, Engineering, and Imaging (TME&I); and program management, integration, and logistics.  Specific requirements will be further identified and defined at the TO level.Acquisition Strategy: TBD",REC,TSA
F2018043531,US Coast Guard- Renovate Chase Hall Barracks Phase V (Annex C),NEW,USCG/SILC-Const.
F2018043580," C3CEN is responsible for multiple Command and Control (C2) systems that support various Maritime Domain Awareness (MDA) roles that are vital to Coast Guard missions. The Maritime Transportation Security Act of 2002 mandates that the Coast Guard maintain 99.7% Operational Availability (AO) of critical C2 systems.  These systems require continuous system administration and life cycle support.  C3CEN requires contractor support to accomplish these tasks. Typical tasks include system troubleshooting, preventive maintenance, customer support, field installation and updates, training support, and Information Assurance Vulnerability Assessment (IAVA) measures on all SMEF supported CCIS product lines. Provides support for both engineering and preventive/corrective maintenance activities for the Vessel Traffic System to include the PAWSS equipment, INVS , radar and radio.  The engineering activites are primarily at C3CEN while equipment is installed at ten Vessel Traffic Service Centers.  Engineering activites include integrating new configuration items and then testing the new system.  Preventive/corrective maintenance includes both routine activies to maintain a system in good health and unplanned corrective activies to return a system or system components to operational status.  All activies include completing documentation to standards. ",REC,USCG/C4IT
F2018043617,"This requirement is for a follow-on or pre-award of a newly established Basic Ordering Agreement to include labor, materials, and equipment to contain, cleanup, and/or mitigate the harmful effects of oil spill and hazardous substance incidents on or in waters subject to the jurisdiction of the United States, as well as the bottom and adjoining shorelines of such waters, and inland areas.  Work shall be performed within all Coast Guard Districts.",REC,USCG/SILC-Base
F2018043640,"TSA is responsible for the deployment of Transportation Security Equipment (TSE) to ensure: (1) new technologies are deployed as they become available based on a risk based model; (2) old technologies are removed from service when they are at the end of their life cycle and (3) systems are relocated as necessary to meet security or agency (safety factors) needs.This contract encompasses all deployments of security capabilities for the TSA. These projects primarily deploy Checkpoint Technologies for passenger screening and carry-on baggage, and Checked Baggage Technologies for the screening of checked baggage. The Contractor is responsible for all tasks associated with the installation, relocation, de-installation, and when directed the evaluation, of security technology equipment at geographically dispersed airports, ports, terminals, cargo facilities and other locations within the Continental United States (CONUS) and its territories (OCONUS). The Contractor may be required to perform work at ±35 sites simultaneously within within one region both CONUS and OCONUS. Each Task Order awarded will specify locations for performance of work.",REC,TSA
F2018043656,"11464737 HS17B REPLACE MWR OFFICE AND WORKSHOP at  STA MARATHON, FL",NEW,USCG/SILC-Const.
F2018043678,"US Coast Guard Station Port Aransas, TX, Hurricane Rebuild",NEW,USCG/SILC-Const.
F2018043679,US Coast Guard Station Port O'Connor TX Hurricane Rebuild,NEW,USCG/SILC-Const.
F2018043681,"US Coast Guard Station Ponce De Leon, FL Hurricane Irma Rebuild to include the design/build new UPH, site work and demolition",NEW,USCG/SILC-Const.
F2018043714,"PSN 8536438 Repair Waterfront North Moorings (FY19 CPOP) at Sector St Petersburg, FL",NEW,USCG/SILC-Const.
F2018043813,"The contractor shall provide Sea Commander Command and Control (C2) System classroom and Over the Shoulder (OTS) operator/maintainer training to TRACEN personnel.  The contractor shall provide course development support to Coast Guard personnel developing the Sea Commander C2 training curricula for operators and maintainers. The contractor shall provide training support to NSC personnel conducting Proficiency training at CGSAIL in Moorestown, NJ.								",REC,USCG/C4IT
F2018043844,"Janitorial / Services Contract: The DHS/TSA Training Center occupies the following twelve buildings and facilities within the perimeter of the FAA William J. Hughes Technical Center:The contractor shall provide all labor, equipment, tools, chemicals, supervision and other items or services necessary to perform janitorial/custodial services as defined in the Performance Work Statement (PWS) at the DHS/TSA Training Center located at the FAA William J. Hughes Technical Center, Atlantic City, NJ 08405.Anticipated Strategy: TBD",REC,TSA
F2018043855,"Repair 50 Rockwell Collins URG-III Power Amplifiers (1KW) (PA-2220A) NSN 5895 01-504-8373 to """"A"""" condition or to OEM specifications.  Package and label in accordance with MIL Standards and return to CG SFLC, Baltimore MD. Contract is for Base year and 3 Option years.",NEW,USCG/C4IT
F2018043858,"Procure and deliver 100% single piece, black (with yellow border), molded 9/16"" - 5/8"" thick, non-slip Polyurethane Anti-Fatigue Mats (2' x 3', 3' x 5', 3' x 8', 3' x 12') to federalized airports with a Transportation Security Administration (TSA) presence in the Continental United States and Outside the Continental United States (OCONUS).Acquisition Strategy: TBD",REC,TSA
F2018043994,Provide transportation security screening services at TSA Screening Partnership Program (SPP) participating airports.  Anticipated vehicle: IDIQ.,REC,TSA
F2018044053,"USCG is constantly tasked with additional requirements without additional resources, forcing the organization to constantly examine business practices and find efficiencies.  The purpose of this effort is to obtain Contractor Business Support Services for U.S. Coast Guard (USCG) Force Readiness Command (FORCECOM). FORCECOM prepares the USCG workforce through the Human Performance Cycle including the management of all relevant operational and mission support training, aligned to clear adaptive tactics, techniques, and procedures, and continually improved by feedback and lessons learned captured by quality assessments and exercise support.  Contractor services required shall include: Strategic Planning, Business Process Reengineering, Change Management, Organizational Modification Requests, Strategic Communications Coordination and supporting Operational Analysis. ",REC,USCG/CG-912
F2018044091,"The contractor shall provide professional support and services with deliverables as detailed in the PWS, specifically to the Information Technology (IT) End User Services Division (EUSD) staff and its programs. The contractor shall provide and deliver responsive, high-quality, customer-centric services and support that foster positive relationships throughout the user community. The contractor shall support end-users by effectively managing and supporting IT-based projects in the following areas:Program and Project Management (PM) Asset ManagementSoftware ManagementAcquisition Strategy: TBD",REC,TSA
F2018044127,"A BPA to provide a variety of consumables for various models of ETDs used by DHS components in airports, seaports, and other security checkpoints throughout the United States.",REC,TSA
F2018044281,"Establish a base plus option year contract for overhauling the following aircraft parts used on the MH-60T aircraft; Nomenclature	National Stock Number	Part Number	Quantity	Unit of Issue	Flight CriticalSpindle Assembly*	1615-01-HS1-4256	70102-28100-054	8	Each	YesSpindle Assembly*	1615-01-HS1-4257	70102-28100-053	8	Each	YesSpindle Assembly*	1615-01-HS1-4258	70102-28100-055	8	Each	YesSpindle Assembly*	1615-01-HS1-4259	70102-28100-056	8	Each	YesModulation Valve	1660-01-161-8379	70309-23900-103	8	Each	NoBifilar Assembly 	1615-01-221-2610	70107-28400-043	3	Each	YesHub*	1615-01-HS1-4524	70070-10046-057	2	Each	YesRetention Plate Assembly	1615-01-185-4870	70102-11101-043	10	Each	Yes",NEW,USCG/ALC
F2018044324,"PSN 7175256 CPOP FY19: Repair Floating Dock at CGC Scioto in Keokuk, IA",NEW,USCG/SILC-Const.
F2018044351,"PSN 11592639 HS17B Repair Light Poles at Sector San Juan, PR",NEW,USCG/SILC-Const.
F2018044416,"The work to be performed for the POLAR STAR SLEP effort will include, but is not limited to, a maximum of six-month long lead time material procurement and detailed design phase for specifications that are approximately 80% complete, followed by a minimum of three annual repair execution phases. The work package will consist of planned reoccurring maintenance items, annual voyage repairs and several key system upgrades. This work is expected to span about 4-6 months in dry dock facility at the shipyard per each repair execution phase. The USCG anticipates that the majority of the work items will be structured as Firm Fixed Price.",NEW,USCG/CG-912
F2018044453,The US Coast Guard has a requirement to procure four (4) Caterpillar C9 marine engines in dual configuration (two (2) right engines and two (2) left engines) for Chile under Foreign Military Sales (FMS) case CI-P-SAB.,REC,USCG/CG-912
F2018044464,"This requirement was previously announced under APFS F2016032231.Acquire C4IT Engineering Development, Integration, and Support Services (CEDISS) for the design, development, integration, testing, and operational evaluation of new C4IT and electronic systems as well as modifications and technology refreshment or upgrades to existing C4IT and related electronic systems.  These services include the development and maintenance of engineering change and logistics support documents that enable C4IT and electronic system sustainment.CEDISS is a follow-on contract to the C4ITSC Technical Engineering Development and Support Services (TEDSS) contract.  CEDISS will support a similar array of C4IT systems as TEDSS with notable additions of select aviation command and control, intelligence, and document & media exploitation (DOMEX) systems.  In addition, the CEDISS functional areas are more focused on system engineering development, integration, and support services while reducing field services by eliminating the performance of routine maintenance and system installations.  It is anticipated this new acquisition will be competed as a multiple award, IDIQ contract for 8(a) offerors.  To address potential organizational conflict of interest (OCI) situations between CEDISS and the C4ITSC Installation and Logistic Management Support (ILMS) services replacement contract, the Government anticipates management of potential OCI issues at the task order level to include excluding offerors from participating on both CEDISS and ILMS task orders for the same system.Place(s) of performance include: Portsmouth, VA; Alexandria, VA; Elizabeth City, NC; Alameda, CA; and Rest of U.S.",REC,USCG/C4IT
F2018044542,This task order will be issued under the full and open award portion of the Log HOUSE contracts to support the transportable temporary housing units in Florida to house disaster survivors.,REC,FEMA
F2018044573,"CG-9 is responsible for providing data-driven metrics to ensure that the Coast Guard is promoting projects with the requisite technical, contracting, and program management skills to deliver best-value systems and assets to Coast Guard operating forces.  The Coast Guard currently has an existing system in place that can be utilized to integrate this requirement.  The Acquisition Directorate has deployed and is operating a comprehensive Acquisition Performance Management system using commercial off-the-shelf (COTS) BI software.  The performance management system known as the Acquisition Performance Management System (APMS) is the SAS -based  BI system consisting of enterprise business intelligence, data integration, and performance management components.  APMS receives data from multiple sources both internal and external to the Coast Guard and displays the information for executives and managers through a portal, web reports and metrics.",REC,USCG/CG-912
F2018044814,"This is a sole-source re-compete to provide KVH Ku-Band airtime, equipment, warranty, and support for 153 assets in our fleet consisting of 129 cutters (7 of which are overseas in PATFORSWA), 4 Rescue 21 Remote Fixed Facility (RFF) backup circuits in Guam, 17 Deployable Contingency Communication System (DCCS) assets, 3 lab mockups, and Fast Response Cutter (FRC) Phase II acquisitions in pre-production.",REC,USCG/C4IT
F2018044934,"The United States Coast Guard (USCG) Surface Forces Logistics Center (SFLC), Medium Endurance Cutter Product Line (MECPL) has a requirement for the FY20 Dockside Availability for the  USCGC VIGOROUS (WMEC 627).  The USCG anticipates awarding one (1) firm fixed contract.  Work to be performed includes tank cleaning preservation, steering system refurbishment, and sea valve overhaul, cutter habitability, repair degraded system components/systems, preserve various hull, freeboard and/or superstructure substrate, and replace and degraded metal and/or aluminum portions of the hull/structure. Additionally, contractor will be required to provide adequate temporary services such as office space, phone, internet, water, electricity, waste removal and hazardous material storage/removal.  The work will be performed at the cutter's homeport - Little Creek, Va.",NEW,USCG/SFLC
F2019045024,"The U. S. Coast Guard Surface Forces Logistics Center Medium Endurance Cutter Product Line has a requirement for the Receipt, Inspection & Condition/Test Reports, Refurbishment, Testing, Preservation, Packing, Packaging, Marking, and Shipping of Propulsion / Rudder Shafts and Rudder Assemblies used on various U. S. Coast Guard Vessels.",REC,USCG/SFLC
F2019045140,"USCGC BARBARA MABRITY (WLM 559) FY20 Dockside AvailabilityThe US Coast Guard Cutter (CGC) BARBARA MABRITY is a 175' seagoing buoy tender class cutter currently home-ported in Mobile, Alabama (AL). Work list will include, but is not limited to: hydraulic / electric deck machinery overhaul, tank cleaning and inspection, ventilation cleaning, exhaust piping cleaning, and painting various surfaces (both interior and exterior).",NEW,USCG/SFLC
F2019045147,"USCGC ABBIE BURGESS (WLM 553) FY20 Dry-dock AvailabilityUS Coast Guard Cutter (CGC) ABBIE BURGESS (WLM 553) is a 175' seagoing buoy tender class cutter, currently home-ported in Rockland, Maine (ME).  Work list will include, but is not limited to: underwater propulsion equipment removal and inspection / overhaul, tank cleaning and inspection, superstructure preservation, freeboard preservation, underwater body inspection, underwater body preservation, anchor chain inspection, and transducer renewals.",NEW,USCG/SFLC
F2019045148,"UCCGC BOLLARD (WYTL 65614) FY20 Dry-dock AvailabilityUCCGC BOLLARD (WYTL 65614) is a 65' small harbor tug class cutter, currently home-ported in New Haven, CT.  Work list will include, but is not limited to: underwater propulsion equipment removal and inspection / overhaul, tank cleaning and inspection, superstructure preservation, freeboard preservation, underwater body inspection, underwater body preservation, anchor chain inspection, and transducer renewals.",NEW,USCG/SFLC
F2019045151,"USCGC SYCAMORE (WLB 209) FY20 Post MMA Dockside AvailabilityUSCGC SYCAMORE (WLB 209) is a 225' oceangoing buoy tender class cutter, home-ported in Duluth, Minnesota (MN). Post Midlife Maintenance Availability (MMA) Work list will include, but is not limited to: hydraulic / electric deck machinery overhaul, tank cleaning and inspection, ventilation cleaning, exhaust piping cleaning, and painting various surfaces (both interior and exterior).",NEW,USCG/SFLC
F2019045153,"USCGC AXE (WLIC 75310) and BARGE (CGB-68020) FY20 Dry-dock AvailabilityUS Coast Guard Cutter (CGC) AXE (WLIC 75310) and BARGE (CGB-68020) are a 75' inland class construction tender cutter and a 68' barge. Both are home-ported in Morgan City, Louisiana (LA). Work list will include, but is not limited to: hydraulic / electric deck machinery overhaul, tank cleaning and inspection, ventilation cleaning, exhaust piping cleaning, and painting various surfaces (both interior and exterior).",NEW,USCG/SFLC
F2019045154,"USCGC NEAH BAY (WTGB 105) FY20 Dry-dock AvailabilityUS Coast Guard Cutter (CGC) NEAH BAY (WTGB 105) is a 140' inland icebreaker tug / bay class cutter, currently home-ported in Cleveland, Ohio (OH). Work list will include, but is not limited to: underwater propulsion equipment removal and inspection / overhaul, tank cleaning and inspection, superstructure preservation, freeboard preservation, underwater body inspection, underwater body preservation, anchor chain inspection, and transducer renewals.",NEW,USCG/SFLC
F2019045169,"USCGC SCIOTO (WLR 65504) AND BARGE (CGB-99002) FY20 Dry-dock AvailabilityThe US Coast Guard Cutter (CGC) SCIOTO (WLR 65504) is a 65' river class of buoy tender cutter with a 99' barge (CGB-99002); both are currently home-ported in Keokuk, Iowa (IA).  Work list will include, but is not limited to: hydraulic / electric deck machinery overhaul, tank cleaning and inspection, ventilation cleaning, exhaust piping cleaning, and painting various surfaces (both interior and exterior).",NEW,USCG/SFLC
F2019045170,"The Contractor shall provide all services, management and administration, equipment, materials, supplies and transportation,. The Contractor shall provide the services in full compliance with standards and directives contained or referenced in this contract. Examples of services include: maintenance, upgrade, and support of Enterprise audio/video suites to include the electronics equipment and technical assistance to Coast Guard units for video teleconferencing and audio/visual support Coast Guard Enterprise-wide. Additional services can include: computer and software support; and Service Calls and Work Orders.",REC,USCG/C4IT
F2019045200,"The primary functions to be performed for the Training Operations Support Services (TOSS) are facility-based services that include but are not limited to activities such as chemical and biological agent training support, air monitoring operations, laboratory support operations, safety control panel operations, contaminated trash removal, site specific training, quality control, protective clothing and equipment laundry operations, and miscellaneous requirements and information. The Contractor is required to provide operation and maintenance functions in a chemical agent (GB and VX) and biological agent (Ricin Toxin and Bacillus Anthracis Delta Sterne) environment.",REC,FEMA
F2019045228,The U.S. Coast Guard has a requirement to procure brand-name maintenance and repair parts and overhaul of engine components for MTU 20V4000M93L engine installed on the 154' WPC Fast Response Cutter.,NEW,USCG/SFLC
F2019045247,"USCGC KANKAKEE (WLR 75500) AND BARGE (CGB-74) FY20 Dry-dock AvailablityThe US Coast Guard Cutter (CGC) KANKAKEE (WLR 75500) is a 75' inland buoy tender class cutter with a 130' barge (CGB-74), both of which are currently home-ported in Memphis, Tennessee (TN). Work list will include, but is not limited to: hydraulic / electric deck machinery overhaul, tank cleaning and inspection, ventilation cleaning, exhaust piping cleaning, and painting various surfaces (both interior and exterior).",NEW,USCG/SFLC
F2019045249,"USCGC BRISTOL BAY (WTGB 102) and BARGE (CGB-12002) FY20 Dry-dock AvailabilityUS Coast Guard Cutter (CGC) BRISTOL BAY (WTGB 102) and BARGE (CGB-12002) are a 140' bay class icebreaker and 120' barge; they are currently home-ported in Detroit, Michigan (MI). Work list will include, but is not limited to: underwater propulsion equipment removal and inspection / overhaul, tank cleaning and inspection, superstructure preservation, freeboard preservation, underwater body inspection, underwater body preservation, anchor chain inspection, and transducer renewals.",NEW,USCG/SFLC
